Date,Control Point,Hong Kong Residents_Arrival,Mainland Visitors_Arrival,Other Visitors_Arrival,Hong Kong Residents_Departure,Mainland Visitors_Departure,Other Visitors_Departure
2020-01-24 00:00:00,Airport,20724,9124,14116,74876,4451,7242
2020-01-24 00:00:00,Express Rail Link West Kowloon,1717,2380,337,20096,2800,316
2020-01-24 00:00:00,Hung Hom,433,470,71,3498,194,51
2020-01-24 00:00:00,Lo Wu,26340,7383,429,72074,6231,413
2020-01-24 00:00:00,Lok Ma Chau Spur Line,16750,4979,196,32215,3766,167
2020-01-24 00:00:00,Hong Kong-Zhuhai-Macao Bridge,7294,1949,2130,15775,2804,2086
2020-01-24 00:00:00,Lok Ma Chau,10591,2921,407,17682,3901,283
2020-01-24 00:00:00,Man Kam To,1093,367,9,1890,219,9
2020-01-24 00:00:00,Sha Tau Kok,1008,264,27,3207,210,40
2020-01-24 00:00:00,Shenzhen Bay,8792,5354,685,37864,5142,484
2020-01-24 00:00:00,China Ferry Terminal,1013,442,373,3511,453,312
2020-01-24 00:00:00,Harbour Control,7,0,259,77,0,4
2020-01-24 00:00:00,Kai Tak Cruise Terminal,466,707,2400,2487,775,280
2020-01-24 00:00:00,Macau Ferry Terminal,6001,358,1395,8985,390,1314
2020-01-25 00:00:00,Airport,14907,8489,10953,58711,5326,7335
2020-01-25 00:00:00,Express Rail Link West Kowloon,1852,2278,285,8489,2089,224
2020-01-25 00:00:00,Hung Hom,575,176,67,1509,153,53
2020-01-25 00:00:00,Lo Wu,20716,4368,317,39692,5468,347
2020-01-25 00:00:00,Lok Ma Chau Spur Line,12511,3237,117,16675,3347,155
2020-01-25 00:00:00,Hong Kong-Zhuhai-Macao Bridge,9121,2682,2339,13570,2949,1830
2020-01-25 00:00:00,Lok Ma Chau,7187,2662,234,10351,3163,195
2020-01-25 00:00:00,Man Kam To,753,262,12,895,203,5
2020-01-25 00:00:00,Sha Tau Kok,923,208,19,1702,165,38
2020-01-25 00:00:00,Shenzhen Bay,9834,4540,532,20440,4993,451
2020-01-25 00:00:00,China Ferry Terminal,1183,463,499,2233,406,415
2020-01-25 00:00:00,Harbour Control,2,0,89,2,0,2
2020-01-25 00:00:00,Kai Tak Cruise Terminal,168,25,2315,2997,129,2521
2020-01-25 00:00:00,Macau Ferry Terminal,6118,490,1355,8120,378,1048
2020-01-26 00:00:00,Airport,22646,10955,7522,47580,7870,8813
2020-01-26 00:00:00,Express Rail Link West Kowloon,7481,2481,415,2360,2875,300
2020-01-26 00:00:00,Hung Hom,2237,272,137,575,307,54
2020-01-26 00:00:00,Lo Wu,44781,4994,406,22105,6754,348
2020-01-26 00:00:00,Lok Ma Chau Spur Line,19606,3816,265,10678,4376,226
2020-01-26 00:00:00,Hong Kong-Zhuhai-Macao Bridge,12967,2486,2311,10182,3053,2082
2020-01-26 00:00:00,Lok Ma Chau,10754,3119,362,7058,3642,240
2020-01-26 00:00:00,Man Kam To,1093,345,24,709,324,5
2020-01-26 00:00:00,Sha Tau Kok,2077,284,40,1058,312,48
2020-01-26 00:00:00,Shenzhen Bay,26235,6051,868,9524,7404,529
2020-01-26 00:00:00,China Ferry Terminal,2418,522,501,1391,603,504
2020-01-26 00:00:00,Harbour Control,0,0,256,0,0,0
2020-01-26 00:00:00,Kai Tak Cruise Terminal,2510,806,2251,1000,394,317
2020-01-26 00:00:00,Macau Ferry Terminal,8216,554,1325,6571,379,1284
2020-01-27 00:00:00,Airport,36215,10309,6764,41316,8203,11319
2020-01-27 00:00:00,Express Rail Link West Kowloon,10913,1887,421,1167,2790,246
2020-01-27 00:00:00,Hung Hom,2025,221,116,244,308,54
2020-01-27 00:00:00,Lo Wu,43145,3643,387,13999,5193,387
2020-01-27 00:00:00,Lok Ma Chau Spur Line,17463,2863,203,7787,3592,175
2020-01-27 00:00:00,Hong Kong-Zhuhai-Macao Bridge,14306,1998,1998,7369,2822,2088
2020-01-27 00:00:00,Lok Ma Chau,10708,1945,356,5174,3655,233
2020-01-27 00:00:00,Man Kam To,1280,281,12,569,324,5
2020-01-27 00:00:00,Sha Tau Kok,2212,189,36,617,337,81
2020-01-27 00:00:00,Shenzhen Bay,27513,4507,759,5065,6538,598
2020-01-27 00:00:00,China Ferry Terminal,3124,477,431,944,530,411
2020-01-27 00:00:00,Harbour Control,69,0,32,28,0,25
2020-01-27 00:00:00,Kai Tak Cruise Terminal,638,56,12,706,66,2190
2020-01-27 00:00:00,Macau Ferry Terminal,7258,394,1271,4981,343,1094
2020-01-28 00:00:00,Airport,54491,7187,5422,41100,8306,12151
2020-01-28 00:00:00,Express Rail Link West Kowloon,13133,1828,322,864,2499,212
2020-01-28 00:00:00,Hung Hom,1754,194,64,203,316,56
2020-01-28 00:00:00,Lo Wu,39880,3633,381,12598,4654,290
2020-01-28 00:00:00,Lok Ma Chau Spur Line,17313,2575,194,7253,3018,175
2020-01-28 00:00:00,Hong Kong-Zhuhai-Macao Bridge,12420,1551,1534,5417,1795,1625
2020-01-28 00:00:00,Lok Ma Chau,10279,1831,329,4780,2722,202
2020-01-28 00:00:00,Man Kam To,1551,283,4,582,269,3
2020-01-28 00:00:00,Sha Tau Kok,2173,245,66,433,210,58
2020-01-28 00:00:00,Shenzhen Bay,26094,4217,738,3797,5022,513
2020-01-28 00:00:00,China Ferry Terminal,2761,314,222,509,371,323
2020-01-28 00:00:00,Harbour Control,17,0,34,1,0,12
2020-01-28 00:00:00,Kai Tak Cruise Terminal,705,56,8,427,75,6
2020-01-28 00:00:00,Macau Ferry Terminal,5745,238,912,3634,288,864
2020-01-29 00:00:00,Airport,50292,9196,5871,33880,7550,10514
2020-01-29 00:00:00,Express Rail Link West Kowloon,20022,1817,403,1195,3524,261
2020-01-29 00:00:00,Hung Hom,2038,201,87,222,462,79
2020-01-29 00:00:00,Lo Wu,44426,4343,485,13519,5099,350
2020-01-29 00:00:00,Lok Ma Chau Spur Line,19574,3003,323,8304,3414,245
2020-01-29 00:00:00,Hong Kong-Zhuhai-Macao Bridge,10793,1363,1168,4213,1588,1479
2020-01-29 00:00:00,Lok Ma Chau,11236,1900,385,5371,3111,252
2020-01-29 00:00:00,Man Kam To,1459,293,11,629,308,10
2020-01-29 00:00:00,Sha Tau Kok,2739,320,61,517,311,87
2020-01-29 00:00:00,Shenzhen Bay,26892,4695,996,4398,6648,678
2020-01-29 00:00:00,China Ferry Terminal,3138,320,271,522,497,266
2020-01-29 00:00:00,Harbour Control,0,0,41,0,0,0
2020-01-29 00:00:00,Kai Tak Cruise Terminal,427,75,10,372,49,21
2020-01-29 00:00:00,Macau Ferry Terminal,4223,250,869,3211,223,877
2020-01-30 00:00:00,Airport,46214,9907,5530,31072,7122,9882
2020-01-30 00:00:00,Express Rail Link West Kowloon,0,0,0,0,0,0
2020-01-30 00:00:00,Hung Hom,0,0,0,0,0,0
2020-01-30 00:00:00,Lo Wu,30427,2470,308,13178,3893,294
2020-01-30 00:00:00,Lok Ma Chau Spur Line,15978,1711,205,8048,2570,168
2020-01-30 00:00:00,Hong Kong-Zhuhai-Macao Bridge,7032,946,923,3554,1360,1155
2020-01-30 00:00:00,Lok Ma Chau,9186,1430,312,4706,3386,322
2020-01-30 00:00:00,Man Kam To,0,0,0,0,0,0
2020-01-30 00:00:00,Sha Tau Kok,0,0,0,0,0,0
2020-01-30 00:00:00,Shenzhen Bay,17109,2785,660,3707,6196,660
2020-01-30 00:00:00,China Ferry Terminal,0,0,0,0,0,0
2020-01-30 00:00:00,Harbour Control,1,0,69,0,0,22
2020-01-30 00:00:00,Kai Tak Cruise Terminal,2921,134,161,682,52,1761
2020-01-30 00:00:00,Macau Ferry Terminal,3638,172,694,3132,249,806
2020-01-31 00:00:00,Airport,49093,7817,5089,28231,5737,7599
2020-01-31 00:00:00,Express Rail Link West Kowloon,0,0,0,0,0,0
2020-01-31 00:00:00,Hung Hom,0,0,0,0,0,0
2020-01-31 00:00:00,Lo Wu,24064,1960,257,13695,2845,267
2020-01-31 00:00:00,Lok Ma Chau Spur Line,14044,1518,181,8490,1939,163
2020-01-31 00:00:00,Hong Kong-Zhuhai-Macao Bridge,5754,653,883,3626,897,1078
2020-01-31 00:00:00,Lok Ma Chau,7807,1200,225,4879,2598,302
2020-01-31 00:00:00,Man Kam To,0,0,0,0,0,0
2020-01-31 00:00:00,Sha Tau Kok,0,0,0,0,0,0
2020-01-31 00:00:00,Shenzhen Bay,11541,2412,567,3727,4789,632
2020-01-31 00:00:00,China Ferry Terminal,0,0,0,0,0,0
2020-01-31 00:00:00,Harbour Control,2,0,330,2,0,9
2020-01-31 00:00:00,Kai Tak Cruise Terminal,828,377,91,1603,65,242
